Car_Age,KM_Driven,Fuel_Type,Transmission,Mileage,Engine,Owner_Type,Selling_Price
13,97021,Petrol,Manual,19.54,2456,First,10.6
8,123418,Electric,Manual,12.62,835,Second,18.52
10,175047,Diesel,Automatic,14.71,1827,Second,13.75
9,137212,Electric,Manual,28.65,2891,Third,20.89
18,160914,Diesel,Manual,27.19,913,First,11.21
2,31421,Diesel,Manual,24.2,2572,Fourth & Above,2.48
5,6708,Electric,Automatic,19.64,1997,Fourth & Above,14.36
5,139702,Diesel,Manual,20.41,2078,Second,5.11
6,155667,Electric,Manual,29.5,1265,Fourth & Above,24.17
19,81021,Petrol,Manual,29.32,2287,Second,13.65
8,164380,Electric,Manual,14.31,1646,Second,14.29
16,49789,Petrol,Automatic,26.22,1301,Third,22.77
13,191762,Diesel,Manual,13.94,1240,First,15.99
1,31086,Electric,Manual,14.27,2916,Second,8.27
17,21859,Diesel,Automatic,23.52,1125,Second,8.11
7,12684,Electric,Automatic,18.1,2565,Second,13.04
13,96088,Petrol,Automatic,28.63,866,Third,21.8
4,137279,Petrol,Manual,11.78,1103,Second,20.07
4,51099,Electric,Automatic,20.23,1771,First,24.11
6,71093,Petrol,Manual,28.37,1283,First,2.73
19,165761,Diesel,Automatic,28.08,1728,Fourth & Above,7.44
12,53651,Diesel,Manual,13.13,2240,First,2.92
7,18893,CNG,Automatic,17.33,948,Fourth & Above,19.03
10,71418,Petrol,Manual,22.38,1924,First,4.38
19,130074,Diesel,Automatic,13.19,895,Fourth & Above,3.4
7,108065,Electric,Manual,29.36,1081,Second,14.48
3,135351,Petrol,Manual,28.29,1328,Third,10.88
13,196083,Diesel,Manual,13.34,2442,Third,18.16
13,43635,Petrol,Manual,12.42,1379,Third,12.69
18,192187,Electric,Manual,11.71,2463,Second,11.21
8,100071,Diesel,Manual,28.19,2431,Third,11.21
9,83518,CNG,Manual,13.87,1609,First,21.93
7,111233,CNG,Manual,18.33,1492,Fourth & Above,10.49
1,108651,Petrol,Automatic,18.98,1034,Second,9.0
3,77805,Electric,Manual,21.98,1751,Third,9.12
13,195026,Diesel,Manual,11.43,2654,First,5.72
17,164136,Electric,Automatic,14.54,2160,First,21.66
1,127813,Diesel,Manual,28.63,1831,Second,4.52
6,84063,Petrol,Automatic,28.17,2266,Second,22.81
6,7454,Diesel,Manual,25.63,2764,Third,7.8
12,25878,Electric,Automatic,10.39,1338,Fourth & Above,22.59
13,187170,Electric,Automatic,16.54,1619,Third,19.98
13,198226,Petrol,Manual,22.56,2481,Third,14.97
15,149063,Electric,Automatic,15.5,1071,Second,17.07
16,73344,Diesel,Manual,28.19,1828,Third,8.82
11,109946,Petrol,Manual,22.68,2722,Third,14.78
5,41593,Diesel,Manual,11.44,2042,Fourth & Above,8.02
4,41304,Electric,Manual,28.18,1941,First,10.65
3,166458,Petrol,Automatic,29.16,1392,First,19.35
19,191292,Diesel,Manual,11.55,2405,Fourth & Above,6.85
18,118613,Electric,Automatic,20.65,914,First,21.13
15,157155,Electric,Automatic,16.07,2477,Third,10.02
9,23354,CNG,Manual,17.86,2245,Fourth & Above,13.77
17,27190,Electric,Manual,13.59,1006,Fourth & Above,23.61
14,11142,Diesel,Manual,21.56,911,Second,17.35
15,164470,Petrol,Manual,29.16,2240,First,16.49
1,188043,CNG,Automatic,20.06,2682,Second,18.08
3,46862,Electric,Manual,11.66,984,Third,23.03
16,189482,Electric,Automatic,22.4,2564,Fourth & Above,6.96
11,155575,Electric,Manual,16.8,1700,Third,15.72
12,130438,Diesel,Manual,27.12,1020,First,10.61
10,53456,CNG,Manual,18.69,2267,Second,1.28
16,105167,Diesel,Manual,13.86,1893,First,4.01
8,87035,CNG,Automatic,13.82,2812,Third,8.8
6,13016,Petrol,Automatic,25.38,1400,Second,14.56
12,7384,Diesel,Manual,15.31,1960,First,22.16
8,198392,Diesel,Automatic,25.34,1303,Third,19.99
4,151144,Petrol,Automatic,14.12,2978,First,14.28
8,107239,CNG,Manual,16.43,1017,Fourth & Above,2.77
18,116431,Electric,Manual,19.31,2298,Second,7.86
5,85018,Petrol,Automatic,28.86,1411,Second,9.8
9,45510,Electric,Automatic,28.63,1952,Second,15.92
4,185005,Electric,Automatic,14.14,856,Fourth & Above,2.56
17,26826,Petrol,Automatic,17.16,2004,Second,13.72
9,73026,CNG,Manual,12.99,1045,Fourth & Above,22.64
1,126668,Electric,Manual,20.2,943,Second,17.93
13,161590,Petrol,Automatic,19.21,1167,First,20.13
16,29045,Diesel,Manual,28.02,2282,First,17.36
13,186948,Diesel,Automatic,28.6,1415,First,5.96
14,95102,Diesel,Automatic,17.67,2681,First,3.65
3,56919,Petrol,Manual,19.83,2388,Fourth & Above,20.91
6,104441,Diesel,Automatic,27.92,1498,Third,17.69
18,163175,Electric,Automatic,26.13,1675,Third,14.8
19,172260,Diesel,Manual,10.07,2485,First,5.54
5,141917,Diesel,Manual,16.4,1744,Third,15.48
15,172746,Electric,Automatic,18.44,1722,Third,1.75
2,123325,Diesel,Automatic,14.59,2546,Second,3.85
10,24337,Electric,Manual,13.99,824,Fourth & Above,8.49
18,158385,Diesel,Automatic,10.76,2487,First,11.65
13,163015,Electric,Automatic,22.87,2359,Third,3.89
5,82949,Diesel,Manual,15.25,1883,Third,3.88
1,5276,Electric,Manual,11.05,1233,First,18.42
1,56151,Petrol,Manual,14.62,1889,Second,14.67
18,153683,Electric,Manual,26.04,2751,First,13.81
15,148016,Diesel,Manual,27.03,2953,Second,11.86
17,57887,Diesel,Manual,19.66,895,Third,24.44
11,86442,CNG,Automatic,18.32,967,Fourth & Above,2.2
17,54847,Electric,Automatic,29.56,2889,Second,5.34
13,63653,Petrol,Manual,14.01,2702,Second,16.54
1,61622,Electric,Manual,14.31,2951,First,4.27
2,32810,Electric,Automatic,15.84,2668,Third,15.15
9,82842,Petrol,Automatic,13.46,2798,Fourth & Above,14.63
3,127225,Electric,Automatic,17.59,1933,First,24.3
1,15503,Petrol,Manual,28.22,2810,First,22.2
16,89761,Petrol,Manual,22.31,1548,Fourth & Above,23.69
6,173048,Electric,Automatic,18.24,2691,Third,3.73
17,131439,Electric,Manual,28.69,1630,Fourth & Above,21.84
5,16590,Diesel,Manual,10.97,848,First,4.1
5,146958,Diesel,Manual,14.21,914,First,16.19
6,148938,CNG,Automatic,21.32,1978,Second,18.28
3,71624,CNG,Automatic,22.31,2472,Fourth & Above,4.86
5,168864,Electric,Manual,10.79,870,Fourth & Above,16.18
5,145836,Petrol,Manual,18.06,2159,Fourth & Above,2.26
10,125356,CNG,Manual,22.98,866,First,8.04
10,47727,Electric,Manual,23.96,2316,Third,23.11
19,83471,CNG,Manual,22.76,2473,First,5.12
17,13068,Petrol,Automatic,16.41,2577,Second,2.57
14,121923,Electric,Manual,11.87,1766,First,11.65
9,143367,Petrol,Manual,18.54,2589,First,21.41
14,177232,Electric,Manual,12.58,1412,First,2.84
1,16390,CNG,Automatic,28.95,2686,Second,9.53
19,111752,Diesel,Automatic,19.5,2422,Fourth & Above,22.59
13,156203,CNG,Manual,16.35,1496,Third,3.84
13,99754,CNG,Automatic,25.33,2037,Third,8.46
4,80969,Diesel,Automatic,19.96,1048,Second,19.68
1,151110,Diesel,Automatic,16.2,1437,Fourth & Above,14.04
17,188399,Electric,Automatic,26.24,1749,Fourth & Above,20.98
8,82064,Electric,Automatic,27.34,2704,Second,3.68
2,26281,Petrol,Automatic,23.46,1911,First,23.09
8,59189,Petrol,Manual,10.94,975,Fourth & Above,23.44
7,53511,CNG,Automatic,21.33,1522,Third,4.73
2,127115,Diesel,Automatic,25.27,1570,Second,1.81
3,13605,Petrol,Manual,12.73,2747,Third,24.76
18,105318,CNG,Manual,14.57,1502,First,12.57
12,137453,Diesel,Manual,27.65,2928,Second,14.73
1,24810,Electric,Manual,10.4,1726,Third,15.78
12,160394,CNG,Automatic,25.05,937,Third,19.95
5,46869,Electric,Automatic,19.48,1949,First,20.49
17,37955,Petrol,Automatic,18.94,2740,Second,5.65
16,66388,Petrol,Automatic,10.14,2691,Fourth & Above,6.68
15,15207,Diesel,Manual,26.39,2678,Fourth & Above,22.04
15,164292,CNG,Automatic,17.2,2053,Third,20.67
5,27031,Electric,Automatic,20.82,2283,First,15.82
14,85807,Diesel,Manual,23.55,2168,Third,24.87
2,76312,Petrol,Automatic,24.05,1109,First,18.64
11,64766,Petrol,Automatic,29.12,1843,Fourth & Above,6.18
19,148521,CNG,Automatic,20.63,2470,Third,21.32
7,94833,Electric,Automatic,17.99,2364,Third,10.95
6,192771,CNG,Manual,29.07,2383,First,1.87
2,116041,Electric,Manual,22.84,2300,Second,8.71
6,121185,Electric,Manual,15.96,1569,First,19.33
18,182164,CNG,Manual,12.53,815,Second,24.04
2,199743,Diesel,Manual,26.85,1405,Fourth & Above,7.63
18,15350,CNG,Automatic,17.24,2181,Third,6.92
15,105859,CNG,Automatic,23.21,1612,Third,14.53
19,73487,Petrol,Manual,19.42,2790,First,20.48
2,153694,Petrol,Manual,13.98,1694,First,18.92
6,128853,CNG,Manual,22.03,2367,Fourth & Above,14.44
1,58117,CNG,Automatic,11.21,1213,Fourth & Above,16.15
15,194466,Petrol,Manual,18.27,824,Second,6.81
10,106084,Electric,Automatic,20.93,2804,Fourth & Above,11.38
19,28782,CNG,Automatic,18.72,1115,Fourth & Above,7.13
17,33454,Diesel,Automatic,24.97,1370,Fourth & Above,22.23
5,72904,Diesel,Automatic,26.56,1524,Fourth & Above,3.7
4,134936,Diesel,Manual,25.42,2649,Second,17.31
10,151664,CNG,Automatic,10.78,2099,Fourth & Above,7.25
17,158245,Electric,Automatic,13.88,2753,Second,12.41
10,169276,Electric,Manual,20.73,1188,First,8.19
17,171668,Petrol,Automatic,28.7,1243,Third,8.76
5,170396,CNG,Automatic,26.7,1770,First,7.25
2,127258,Electric,Automatic,26.85,2764,Fourth & Above,19.07
6,116668,CNG,Manual,16.06,2628,Third,9.78
2,197274,Petrol,Automatic,18.59,1103,Fourth & Above,18.43
13,129184,Petrol,Automatic,19.41,1563,Fourth & Above,11.95
11,166822,Petrol,Manual,13.15,2773,First,14.13
11,21566,Diesel,Manual,10.62,1615,Fourth & Above,14.04
16,143262,CNG,Automatic,28.94,2959,First,24.42
11,43333,Petrol,Automatic,14.81,1677,Fourth & Above,9.81
19,126929,CNG,Manual,14.8,1502,Second,5.98
15,94571,Diesel,Automatic,11.67,1743,Third,22.88
16,125263,Diesel,Manual,28.57,2860,First,5.2
11,137661,Petrol,Automatic,21.59,1102,First,21.03
16,30235,Petrol,Manual,23.34,2379,Third,4.61
8,5159,Electric,Automatic,28.23,959,First,16.81
4,148217,CNG,Manual,16.91,2003,Third,4.61
8,167993,Petrol,Manual,22.43,1991,Second,23.15
4,109859,Electric,Manual,10.78,1973,Fourth & Above,14.56
3,152309,CNG,Manual,13.74,2863,Second,8.9
3,112507,Petrol,Manual,26.62,1914,Fourth & Above,4.37
18,144316,Electric,Automatic,25.34,1943,Third,9.91
19,19743,Electric,Automatic,17.01,2779,Second,17.92
19,51101,CNG,Manual,17.54,1052,Fourth & Above,10.24
5,126534,Electric,Automatic,20.67,2232,Third,6.91
18,89227,CNG,Automatic,10.0,2878,Fourth & Above,14.86
10,192450,CNG,Automatic,14.82,1530,First,11.03
6,76126,CNG,Automatic,14.16,1297,First,4.98
1,61071,Diesel,Automatic,15.01,2228,Third,4.7
5,79763,Electric,Automatic,26.12,1347,Fourth & Above,17.98
9,148309,CNG,Manual,15.59,1760,First,24.39
12,151721,Petrol,Automatic,13.83,931,Second,6.59
14,173785,Diesel,Automatic,20.09,2147,Fourth & Above,19.56
2,181481,Diesel,Automatic,27.31,1657,Fourth & Above,3.1
17,184838,Electric,Manual,14.83,1955,First,10.16
14,51154,CNG,Automatic,11.57,2832,First,13.16
13,12016,Electric,Automatic,17.13,1320,Third,7.45
9,184760,Diesel,Automatic,24.95,829,Fourth & Above,13.71
15,94678,CNG,Manual,21.01,2851,Second,22.18
15,117056,Petrol,Automatic,26.34,1308,First,23.67
11,59238,CNG,Manual,29.19,2060,Fourth & Above,3.41
16,63608,Diesel,Automatic,25.85,2358,First,7.52
17,94081,Petrol,Manual,22.08,815,Third,24.5
4,167969,CNG,Manual,19.87,1796,Fourth & Above,7.49
1,55961,Petrol,Manual,10.8,2407,Fourth & Above,17.62
8,180829,Petrol,Automatic,29.69,2639,Third,7.08
17,31917,Diesel,Manual,17.67,2816,Second,9.55
3,158808,Petrol,Manual,13.04,2053,First,5.59
15,32990,Electric,Manual,23.33,2543,Third,21.55
15,67551,Diesel,Manual,15.69,1888,Fourth & Above,22.18
14,194233,Electric,Automatic,21.72,2161,Third,8.13
14,158512,Petrol,Automatic,21.74,1177,Fourth & Above,20.77
2,171277,Electric,Automatic,18.91,1998,Third,9.6
13,85811,CNG,Automatic,26.72,1275,Second,3.38
14,60103,Petrol,Manual,15.3,2089,Fourth & Above,19.19
19,177699,CNG,Automatic,18.97,1128,Third,15.31
7,111122,Electric,Manual,20.75,2639,Second,7.59
3,24008,CNG,Automatic,23.27,1986,Second,7.07
15,37402,Petrol,Automatic,25.68,1237,First,24.41
14,189456,CNG,Automatic,17.9,2190,Fourth & Above,21.7
11,141865,Electric,Manual,22.92,2573,First,20.44
15,141643,Electric,Automatic,13.01,2022,Second,4.07
13,152281,Electric,Automatic,28.65,2323,First,19.12
18,118550,Petrol,Automatic,17.66,2863,First,6.15
6,179220,Electric,Manual,24.59,2644,Third,24.46
3,96218,Petrol,Automatic,10.41,2119,First,2.25
19,138296,CNG,Automatic,14.1,1667,Second,9.45
15,184767,Electric,Manual,19.74,2611,First,11.29
5,125779,CNG,Manual,27.57,1783,Fourth & Above,20.78
10,134714,Diesel,Automatic,20.55,2062,Third,19.39
7,37441,CNG,Automatic,28.6,2124,Second,10.0
17,175201,Diesel,Automatic,19.68,2853,First,14.57
7,67368,CNG,Manual,19.81,1818,Fourth & Above,21.05
12,97122,Petrol,Manual,12.39,2589,Second,1.44
17,49760,CNG,Manual,26.05,1606,First,20.25
13,28478,Petrol,Automatic,14.94,2693,Third,23.73
4,132881,Petrol,Manual,27.99,2209,First,1.77
10,76854,Electric,Automatic,28.22,2118,Second,2.09
3,99230,Petrol,Manual,28.87,1941,Second,9.27
9,90716,Diesel,Manual,20.4,1204,Second,3.11
13,148252,Electric,Manual,23.54,2586,Fourth & Above,12.5
18,103538,Electric,Automatic,25.57,1393,First,18.49
15,20372,CNG,Automatic,12.62,811,First,14.61
4,34796,Petrol,Automatic,22.02,2117,First,5.71
15,194344,Petrol,Automatic,10.69,2342,Third,16.72
2,103826,Diesel,Manual,19.95,2925,Fourth & Above,17.44
15,125592,CNG,Automatic,13.1,1413,Fourth & Above,23.38
8,98635,CNG,Manual,13.66,2786,Third,4.52
8,116022,Electric,Automatic,17.3,1668,Fourth & Above,17.62
17,59040,Electric,Automatic,18.65,1611,Third,22.87
12,80357,Electric,Manual,22.46,2622,Second,13.04
19,83356,Diesel,Manual,11.49,1566,Second,9.68
10,21211,Diesel,Automatic,20.07,881,Fourth & Above,5.1
9,110426,Electric,Automatic,13.65,2544,Second,21.8
5,10842,CNG,Manual,21.48,1321,Second,10.46
6,199187,Diesel,Manual,22.75,2127,Second,23.2
2,71852,CNG,Manual,21.13,1793,First,21.35
13,130737,CNG,Manual,24.77,2325,Second,10.04
6,50968,Petrol,Manual,16.71,2269,First,14.77
5,22508,Electric,Automatic,25.3,2313,Third,1.65
1,158077,Petrol,Automatic,18.66,1580,Third,7.32
6,59575,Electric,Automatic,19.68,2251,Third,18.05
6,155043,Electric,Automatic,22.96,1358,Third,17.27
16,161671,CNG,Manual,10.37,2938,Third,9.48
4,71914,Electric,Manual,23.08,2837,Second,20.41
11,72055,CNG,Manual,22.37,2553,Second,6.66
9,92697,CNG,Automatic,16.2,1659,Second,12.07
3,111239,Electric,Manual,11.72,2412,Third,12.34
19,128106,CNG,Manual,11.82,1355,Third,9.18
8,10355,CNG,Automatic,28.46,955,First,23.91
5,59120,CNG,Automatic,23.79,2849,Fourth & Above,17.72
4,43342,Diesel,Automatic,12.54,2180,Second,13.94
6,7257,CNG,Manual,17.13,1624,Fourth & Above,13.25
2,32364,Diesel,Manual,21.85,2392,Third,4.82
11,161044,Diesel,Automatic,26.71,1881,Third,9.93
4,116715,CNG,Automatic,10.87,2003,Third,17.15
15,31654,CNG,Manual,14.73,1292,Fourth & Above,23.19
6,86423,Diesel,Automatic,27.79,1468,First,20.6
17,34320,Diesel,Manual,10.18,874,Third,8.21
6,25808,CNG,Automatic,14.03,1170,First,11.41
19,57389,CNG,Automatic,29.18,1386,First,2.99
2,123581,Electric,Automatic,22.27,1128,Second,3.45
15,132927,Diesel,Manual,15.23,1389,Fourth & Above,12.29
11,39773,Diesel,Manual,11.34,2590,Third,13.73
8,187240,Electric,Automatic,10.56,1576,First,7.34
19,163819,Diesel,Manual,14.89,2822,Fourth & Above,16.43
13,81396,Petrol,Automatic,27.63,1378,Fourth & Above,17.88
12,112692,Diesel,Automatic,18.32,1020,Third,8.18
5,62505,Electric,Manual,24.41,1987,Second,19.2
6,90896,Petrol,Manual,28.37,2303,Second,5.93
4,23135,CNG,Manual,18.16,2507,First,14.06
19,95887,Electric,Manual,13.83,2545,Second,20.3
1,127118,Electric,Automatic,20.34,987,Second,13.89
17,52377,CNG,Manual,28.16,2014,Second,22.79
12,159626,Electric,Manual,26.09,1909,Fourth & Above,2.4
15,67491,Diesel,Automatic,11.32,1643,Third,15.12
1,191693,CNG,Automatic,23.85,1330,Fourth & Above,14.48
14,63283,Electric,Automatic,21.44,1870,Fourth & Above,16.85
6,21923,CNG,Automatic,28.15,1762,Third,21.0
5,52591,CNG,Manual,12.45,1969,Fourth & Above,18.42
11,67261,CNG,Manual,20.68,2205,First,19.97
4,59336,Petrol,Automatic,27.59,1316,First,7.93
13,79083,Electric,Automatic,18.2,2688,Fourth & Above,10.3
11,65948,Petrol,Manual,19.64,2291,Second,16.04
3,169074,Electric,Manual,11.41,1917,Fourth & Above,14.28
1,31672,Diesel,Manual,15.56,932,Second,24.07
6,9213,Diesel,Manual,16.49,1113,Fourth & Above,5.48
18,146365,Diesel,Manual,28.9,1390,First,9.43
10,191932,Electric,Automatic,15.65,2343,Second,14.75
5,67507,CNG,Automatic,19.22,2685,First,21.83
10,62134,CNG,Automatic,23.43,2426,Fourth & Above,23.3
12,138172,Petrol,Automatic,13.24,1547,Third,9.06
2,198069,Petrol,Manual,19.73,2297,Second,2.61
13,33172,Diesel,Automatic,24.77,1600,Second,11.12
8,25132,Petrol,Manual,27.34,2297,Fourth & Above,10.46
2,23199,Electric,Manual,22.53,2179,Fourth & Above,24.68
1,41609,Electric,Manual,23.38,1479,Second,11.35
5,179037,Petrol,Manual,12.53,2961,Third,8.34
9,144088,Petrol,Manual,28.92,1696,Fourth & Above,9.77
17,175851,Petrol,Manual,12.65,2346,Fourth & Above,10.53
9,36881,Petrol,Manual,25.49,2593,Fourth & Above,20.72
11,29472,Diesel,Automatic,15.3,2912,Third,2.94
15,187885,Diesel,Manual,28.67,1483,Second,8.6
6,172093,Petrol,Automatic,24.4,2095,First,24.19
3,59131,Electric,Automatic,25.08,2485,Fourth & Above,4.67
17,160159,Diesel,Manual,14.38,2185,Third,18.82
5,17828,Electric,Manual,18.86,2993,Second,9.55
12,197682,CNG,Automatic,22.36,1742,Second,14.96
18,101664,Electric,Automatic,25.4,2109,Third,3.39
14,137473,Petrol,Automatic,12.08,1833,Fourth & Above,8.35
11,20193,CNG,Automatic,29.25,2420,First,13.02
9,180936,Diesel,Manual,27.8,1608,Fourth & Above,6.56
2,156379,Diesel,Manual,15.41,970,Second,14.0
12,107518,CNG,Manual,26.46,2353,First,6.27
3,24611,Electric,Automatic,20.37,2395,Fourth & Above,16.6
3,179863,Diesel,Manual,19.24,2423,First,22.7
1,148022,Petrol,Automatic,16.29,826,Third,3.05
8,81240,CNG,Manual,21.62,1813,Fourth & Above,6.2
8,7745,Petrol,Automatic,24.6,1891,Second,21.27
11,60243,CNG,Manual,18.22,1207,Second,16.16
9,8866,Diesel,Manual,22.58,1932,First,2.89
5,168317,Electric,Automatic,23.99,873,Third,12.67
14,180796,CNG,Automatic,24.22,1479,Fourth & Above,6.03
3,133681,CNG,Automatic,11.04,2191,Third,5.78
5,76354,Petrol,Automatic,27.19,1648,Third,23.58
5,56374,Diesel,Automatic,19.17,1669,First,19.28
19,119397,Petrol,Manual,15.25,1036,First,17.71
14,129577,Diesel,Automatic,14.84,1705,Fourth & Above,6.73
4,166188,Petrol,Manual,19.66,1418,Second,3.85
13,86029,CNG,Manual,27.74,1832,Fourth & Above,21.9
10,98574,Petrol,Manual,17.57,2113,Third,1.14
18,156519,Electric,Manual,24.99,1646,First,10.31
8,35431,Diesel,Manual,11.94,2723,Third,7.66
8,153980,Diesel,Automatic,19.52,1433,First,14.69
7,34336,CNG,Automatic,29.83,1817,Second,7.01
8,45992,Diesel,Manual,25.41,807,Third,8.47
14,60350,Electric,Manual,14.21,2192,First,21.4
19,74561,Petrol,Automatic,20.03,1868,Fourth & Above,15.48
6,56955,CNG,Automatic,14.67,2580,Fourth & Above,4.5
1,66240,Electric,Manual,18.19,2442,Fourth & Above,18.44
15,156165,Diesel,Automatic,25.6,2016,Third,5.98
1,142227,Diesel,Automatic,25.42,1648,First,11.39
17,51607,Electric,Automatic,14.56,2180,First,16.52
1,169559,Petrol,Manual,28.44,861,First,7.53
15,191740,Petrol,Automatic,21.85,1885,Third,10.22
2,157035,CNG,Manual,17.6,2617,First,18.62
14,186196,Diesel,Manual,20.04,1432,Second,23.51
8,57870,Electric,Manual,22.1,1591,Third,13.7
8,192619,Petrol,Manual,21.2,2100,Second,1.24
19,69110,CNG,Manual,19.73,2254,Second,9.12
7,189626,Diesel,Automatic,20.1,1938,Fourth & Above,10.57
19,157008,Diesel,Manual,13.53,2511,Third,9.14
6,121895,CNG,Manual,26.25,1324,First,11.47
6,9426,CNG,Manual,20.84,2820,Second,16.18
3,32606,Petrol,Automatic,12.62,1698,Third,3.91
7,183904,Electric,Automatic,25.32,1586,First,7.54
19,33151,Diesel,Automatic,28.65,2160,Fourth & Above,13.18
8,16308,Electric,Automatic,28.95,972,Third,8.57
10,198594,Diesel,Automatic,17.38,1799,Third,24.79
15,181743,Diesel,Automatic,12.71,2610,Third,11.35
15,95306,Electric,Automatic,20.37,863,First,21.88
1,111984,CNG,Manual,12.25,2145,Second,22.52
7,7204,Petrol,Manual,28.68,1774,Second,21.06
4,97769,Diesel,Automatic,13.67,865,Third,2.13
6,92265,CNG,Manual,15.06,2666,Third,23.75
1,36131,Diesel,Manual,18.13,2422,First,4.09
5,57428,Petrol,Automatic,17.66,1257,Fourth & Above,1.83
1,38870,Diesel,Manual,25.89,2402,Third,10.94
4,108547,Petrol,Manual,19.13,2757,Third,5.67
2,54067,Petrol,Automatic,13.42,2540,Fourth & Above,5.42
10,194657,Diesel,Manual,15.34,2249,Third,7.91
5,117217,Diesel,Automatic,20.18,2759,Second,6.96
10,157679,Petrol,Automatic,12.95,2754,Third,17.44
1,161040,CNG,Manual,22.23,1079,Second,5.48
6,103934,Electric,Manual,21.31,1840,First,14.03
13,147980,Petrol,Manual,24.29,1761,First,24.67
15,162495,Diesel,Automatic,28.75,2742,Second,11.38
4,79707,Diesel,Automatic,28.25,2017,Second,16.4
13,66215,CNG,Automatic,28.92,1174,Fourth & Above,24.26
15,191907,Electric,Manual,14.89,2711,Second,4.3
8,54429,Petrol,Manual,12.63,834,Second,11.05
5,87152,Petrol,Automatic,16.05,2192,Third,21.4
15,113048,Electric,Manual,27.9,2876,Fourth & Above,23.38
4,174530,Petrol,Manual,29.44,1574,Second,15.43
12,182241,Electric,Automatic,27.19,1020,Second,4.44
13,143731,Diesel,Automatic,12.2,2900,Second,22.64
2,196686,Electric,Manual,28.95,2923,Third,5.19
19,82240,Petrol,Automatic,18.47,1293,Third,9.47
19,168865,Electric,Manual,10.19,2511,Third,10.01
4,118688,CNG,Automatic,18.85,2964,First,11.73
4,51473,Diesel,Automatic,10.92,1079,Third,19.96
11,101762,Diesel,Automatic,20.88,1545,Second,20.25
5,111956,Electric,Manual,16.77,2274,Third,18.27
11,123452,Petrol,Manual,19.47,2657,Third,1.53
10,191823,CNG,Automatic,22.26,2341,Fourth & Above,14.56
8,131311,Diesel,Automatic,27.38,1896,Second,18.94
6,190326,Diesel,Automatic,23.24,1859,Third,11.67
6,12006,Petrol,Manual,18.68,2722,First,23.68
8,79218,Petrol,Automatic,26.39,2805,Fourth & Above,20.77
15,169912,CNG,Automatic,28.11,1296,Third,16.32
14,37430,Electric,Automatic,12.4,843,Fourth & Above,2.5
11,28091,Petrol,Automatic,20.64,2651,Fourth & Above,16.66
12,169055,Electric,Manual,15.69,1253,First,22.88
13,28989,CNG,Manual,10.94,1394,First,10.11
8,80451,Electric,Automatic,23.37,2156,First,21.12
18,23990,Diesel,Manual,27.26,1306,Second,8.52
1,95270,Electric,Manual,13.26,1593,Fourth & Above,14.68
15,85360,CNG,Manual,26.25,820,Third,16.56
8,41081,CNG,Automatic,27.07,2199,First,17.27
11,147105,CNG,Manual,28.29,1894,First,22.18
12,113272,Electric,Manual,15.31,2227,Fourth & Above,6.63
12,21241,Diesel,Manual,28.08,2385,Fourth & Above,7.3
4,129932,Petrol,Automatic,16.41,2614,Fourth & Above,17.9
16,10939,Diesel,Automatic,21.05,2220,Third,5.25
4,118000,Electric,Manual,11.01,1136,Second,12.14
5,183634,Electric,Manual,10.88,2467,Second,1.48
5,40063,Petrol,Automatic,24.41,1709,First,4.38
8,163117,Electric,Automatic,18.89,1075,Second,17.29
10,180841,CNG,Manual,15.13,1691,Third,18.94
17,52118,CNG,Manual,13.81,812,Second,3.77
9,89703,CNG,Automatic,23.4,1826,Third,6.47
19,157697,CNG,Automatic,10.01,1773,First,3.37
14,133557,CNG,Manual,26.12,974,Fourth & Above,11.4
8,32076,Electric,Automatic,11.58,2208,Third,4.03
9,49605,Petrol,Manual,13.83,2425,Fourth & Above,11.5
11,89565,Petrol,Manual,17.72,2743,First,18.57
1,44121,CNG,Manual,19.7,1346,Third,17.4
14,36433,Electric,Automatic,17.1,2861,Third,7.73
5,48309,Diesel,Manual,16.41,2018,Second,17.17
14,72468,Diesel,Manual,29.28,2220,Third,23.27
4,180326,Electric,Automatic,22.83,2254,First,9.34
1,72293,CNG,Automatic,10.47,2233,Fourth & Above,8.9
19,101258,Petrol,Manual,18.6,802,Third,14.71
8,173925,Electric,Manual,27.5,2642,First,6.89
15,43405,Diesel,Automatic,16.03,1546,First,16.64
15,48527,Diesel,Automatic,11.89,1671,Third,20.97
9,82227,Diesel,Automatic,25.17,1294,Second,12.02
9,136564,CNG,Manual,22.12,2214,Third,17.31
10,144883,Diesel,Manual,21.41,1427,Third,16.65
9,98344,Electric,Manual,11.07,1875,Second,1.93
3,160344,Electric,Automatic,12.81,941,First,5.4
11,52153,Diesel,Manual,22.45,2287,Third,22.44
6,113042,Electric,Automatic,14.16,845,Second,23.53
2,59110,Diesel,Manual,20.08,2857,Fourth & Above,19.73
7,150051,Diesel,Automatic,20.9,1463,Fourth & Above,23.11
18,33328,Petrol,Manual,15.67,1372,Second,8.35
2,117911,CNG,Manual,28.97,2829,First,6.95
17,17867,CNG,Automatic,26.85,2353,Second,10.22
11,64234,Petrol,Automatic,24.45,2421,First,2.33
12,30851,Petrol,Manual,11.56,1712,Fourth & Above,20.44
19,36279,CNG,Automatic,12.12,1439,Third,24.62
7,78402,Diesel,Automatic,19.86,1708,Second,20.78
6,20449,Diesel,Manual,13.21,1668,Fourth & Above,14.32
1,81221,CNG,Automatic,29.57,1829,Third,8.09
17,94080,Diesel,Manual,13.17,1652,Fourth & Above,5.74
